file,family,phrasing,prompt,constraint,measured,satisfied,satisfied_exact,satisfied_octave_ok
baseline_none_0000.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0001.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0002.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0003.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0004.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0005.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0006.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0007.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0008.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0009.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0010.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0011.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0012.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0013.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0014.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0015.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0016.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0017.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0018.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0019.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0020.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0021.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0022.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0023.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0024.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0025.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0026.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0027.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0028.wav,baseline,none,instrumental music,nan=None,None,,,
baseline_none_0029.wav,baseline,none,instrumental music,nan=None,None,,,
tempo_theory_0030.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,61.5,,False,False
tempo_theory_0031.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,70.8,,True,True
tempo_theory_0032.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,73.5,,True,True
tempo_theory_0033.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,50.0,,False,False
tempo_theory_0034.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,144.2,,False,True
tempo_theory_0035.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,46.9,,False,False
tempo_theory_0036.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,72.1,,True,True
tempo_theory_0037.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,75.0,,True,True
tempo_theory_0038.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,144.2,,False,True
tempo_theory_0039.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,56.0,,False,False
tempo_theory_0040.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,47.5,,False,False
tempo_theory_0041.wav,tempo,theory,instrumental music at 72 beats per minute,bpm=72,72.1,,True,True
tempo_theory_0042.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,67.0,,False,False
tempo_theory_0043.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,41.7,,False,True
tempo_theory_0044.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,56.0,,False,False
tempo_theory_0045.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,121.0,,False,False
tempo_theory_0046.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,170.5,,False,True
tempo_theory_0047.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,42.1,,False,True
tempo_theory_0048.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,42.1,,False,True
tempo_theory_0049.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,42.1,,False,True
tempo_theory_0050.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,41.7,,False,True
tempo_theory_0051.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,48.1,,False,False
tempo_theory_0052.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,56.0,,False,False
tempo_theory_0053.wav,tempo,theory,instrumental music at 84 beats per minute,bpm=84,42.1,,False,True
tempo_theory_0054.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,63.6,,False,False
tempo_theory_0055.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0056.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,129.3,,False,False
tempo_theory_0057.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,96.2,,True,True
tempo_theory_0058.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0059.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0060.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,98.7,,True,True
tempo_theory_0061.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,96.2,,True,True
tempo_theory_0062.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0063.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,64.7,,False,False
tempo_theory_0064.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0065.wav,tempo,theory,instrumental music at 97 beats per minute,bpm=97,48.1,,False,True
tempo_theory_0066.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,56.8,,False,True
tempo_theory_0067.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0068.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0069.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0070.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,75.0,,False,False
tempo_theory_0071.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0072.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,75.0,,False,False
tempo_theory_0073.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0074.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,56.8,,False,True
tempo_theory_0075.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,113.6,,True,True
tempo_theory_0076.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,56.8,,False,True
tempo_theory_0077.wav,tempo,theory,instrumental music at 113 beats per minute,bpm=113,56.8,,False,True
tempo_theory_0078.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,63.6,,False,True
tempo_theory_0079.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,125.0,,True,True
tempo_theory_0080.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,125.0,,True,True
tempo_theory_0081.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,63.6,,False,True
tempo_theory_0082.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,125.0,,True,True
tempo_theory_0083.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,42.1,,False,False
tempo_theory_0084.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,125.0,,True,True
tempo_theory_0085.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,54.3,,False,False
tempo_theory_0086.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,170.5,,False,False
tempo_theory_0087.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,125.0,,True,True
tempo_theory_0088.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,63.6,,False,True
tempo_theory_0089.wav,tempo,theory,instrumental music at 126 beats per minute,bpm=126,63.6,,False,True
tempo_theory_0090.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0091.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,150.0,,True,False
tempo_theory_0092.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,73.5,,False,True
tempo_theory_0093.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0094.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0095.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0096.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,96.2,,False,False
tempo_theory_0097.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,72.1,,False,True
tempo_theory_0098.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0099.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0100.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,150.0,,True,False
tempo_theory_0101.wav,tempo,theory,instrumental music at 143 beats per minute,bpm=143,144.2,,True,True
tempo_theory_0102.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,76.5,,False,True
tempo_theory_0103.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,53.6,,False,False
tempo_theory_0104.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,107.1,,False,False
tempo_theory_0105.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,81.5,,False,True
tempo_theory_0106.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,163.0,,True,True
tempo_theory_0107.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,81.5,,False,True
tempo_theory_0108.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,163.0,,True,True
tempo_theory_0109.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,107.1,,False,False
tempo_theory_0110.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,163.0,,True,True
tempo_theory_0111.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,52.8,,False,False
tempo_theory_0112.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,156.2,,True,True
tempo_theory_0113.wav,tempo,theory,instrumental music at 158 beats per minute,bpm=158,156.2,,True,True
tempo_theory_0114.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,187.5,,True,False
tempo_theory_0115.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,45.2,,False,False
tempo_theory_0116.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,46.3,,False,False
tempo_theory_0117.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,197.4,,False,False
tempo_theory_0118.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,91.5,,False,True
tempo_theory_0119.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,178.6,,True,True
tempo_theory_0120.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,178.6,,True,True
tempo_theory_0121.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,178.6,,True,True
tempo_theory_0122.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,89.3,,False,True
tempo_theory_0123.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,91.5,,False,True
tempo_theory_0124.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,60.5,,False,False
tempo_theory_0125.wav,tempo,theory,instrumental music at 176 beats per minute,bpm=176,178.6,,True,True
meter_vocab_0126.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0127.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0128.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0129.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0130.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0131.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0132.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0133.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0134.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0135.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0136.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_vocab_0137.wav,meter,vocab,a waltz,beats_per_bar=3,None,,,
meter_theory_0138.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0139.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0140.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0141.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0142.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0143.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0144.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0145.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0146.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0147.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0148.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_theory_0149.wav,meter,theory,instrumental music in 3/4 time,beats_per_bar=3,None,,,
meter_vocab_0150.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0151.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0152.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0153.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0154.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0155.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0156.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0157.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0158.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0159.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0160.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_vocab_0161.wav,meter,vocab,a military march,beats_per_bar=4,None,,,
meter_theory_0162.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0163.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0164.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0165.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0166.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0167.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0168.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0169.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0170.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0171.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0172.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0173.wav,meter,theory,instrumental music in 4/4 time,beats_per_bar=4,None,,,
meter_theory_0174.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0175.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0176.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0177.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0178.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0179.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
meter_theory_0180.wav,meter,theory,instrumental music in 5/4 time,beats_per_bar=5,None,,,
