task,tier,n_audio,acc_audio,unparseable_audio,acc_no_audio,unparseable_no_audio,acc_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.2222222222222222,0.0,0.4074074074074074,0.0,0.21428571428571427,0.0,-0.18518518518518517
cents_discrimination,1,180,0.16666666666666666,0.0,0.15625,0.4285714285714286,0.3,0.0,0.010416666666666657
interval_id,1,178,0.15730337078651685,0.0,0.25,0.0,0.16666666666666666,0.0,-0.09269662921348315
note_count,1,132,0.21212121212121213,0.0,0.18518518518518517,0.0,0.3333333333333333,0.0,0.026936026936026952
octave_id,1,93,0.45161290322580644,0.0,0.29411764705882354,0.0,0.3333333333333333,0.0,0.1574952561669829
pitch_note_id,1,90,0.45454545454545453,0.022222222222222254,0.2962962962962963,0.0357142857142857,0.5,0.0,0.15824915824915825
tempo_bpm,1,60,0.26666666666666666,0.0,0.3333333333333333,0.85,0.0,0.0,-0.06666666666666665
tuning_judgment,1,120,0.5666666666666667,0.0,0.5483870967741935,0.24390243902439024,0.5,0.0,0.018279569892473146
chord_quality,2,117,0.3418803418803419,0.0,0.2916666666666667,0.0,0.15384615384615385,0.0,0.0502136752136752
key_id,2,116,0.22522522522522523,0.0431034482758621,0.36363636363636365,0.0,0.2222222222222222,0.0,-0.13841113841113842
mode_id,2,128,0.25,0.0,0.4523809523809524,0.0,0.2857142857142857,0.0,-0.20238095238095238
progression_id,2,42,0.23809523809523808,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,-0.09523809523809523
