task,tier,n_audio,acc_audio,unparseable_audio,acc_no_audio,unparseable_no_audio,acc_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.3467741935483871,0.015873015873015928,0.42857142857142855,0.4814814814814815,0.2857142857142857,0.0,-0.08179723502304143
cents_discrimination,1,180,0.3333333333333333,0.0,0.6153846153846154,0.7678571428571428,0.45,0.0,-0.2820512820512821
interval_id,1,178,0.375,0.011235955056179803,0.25,0.8888888888888888,0.3333333333333333,0.0,0.125
note_count,1,132,0.4015151515151515,0.0,0.23076923076923078,0.5185185185185186,0.3333333333333333,0.0,0.1707459207459207
octave_id,1,93,0.3118279569892473,0.0,0.75,0.7647058823529411,0.2222222222222222,0.0,-0.4381720430107527
pitch_note_id,1,90,0.4888888888888889,0.0,0.2962962962962963,0.0357142857142857,0.5,0.0,0.1925925925925926
tempo_bpm,1,60,0.10344827586206896,0.033333333333333326,0.0,0.7,0.0,0.5,0.10344827586206896
tuning_judgment,1,120,0.49166666666666664,0.0,0.53125,0.2195121951219512,0.5,0.0,-0.03958333333333336
chord_quality,2,117,0.4358974358974359,0.0,0.0,0.8333333333333334,0.15384615384615385,0.0,0.4358974358974359
key_id,2,116,0.35714285714285715,0.03448275862068961,0.7,0.3939393939393939,0.6666666666666666,0.0,-0.3428571428571428
mode_id,2,128,0.31451612903225806,0.03125,0.2222222222222222,0.5714285714285714,0.23076923076923078,0.0714285714285714,0.09229390681003585
progression_id,2,42,0.2926829268292683,0.023809523809523836,,1.0,0.2,0.16666666666666663,
