task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.1746031746031746,0.0,0.0,0.37037037037037035,0.0,0.0,0.35714285714285715,0.0,0.0,-0.19576719576719576
cents_discrimination,1,180,0.45,0.0,0.0,0.42857142857142855,0.0,0.0,0.35,0.0,0.0,0.021428571428571463
instrument_id,1,90,0.6666666666666666,0.0,0.022222222222222223,0.14285714285714285,0.0,0.0,0.375,0.0,0.0,0.5238095238095237
interval_id,1,178,0.19662921348314608,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,-0.13670411985018724
note_count,1,132,0.25,0.0,0.0,0.4074074074074074,0.0,0.0,0.5555555555555556,0.0,0.0,-0.15740740740740738
octave_id,1,93,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.3225806451612903
pitch_note_id,1,90,0.7666666666666667,0.0,0.0,0.6428571428571429,0.0,0.0,0.625,0.0,0.0,0.12380952380952381
tempo_bpm,1,60,0.06666666666666667,0.0,0.0,0.15,0.0,0.0,0.5,0.0,0.0,-0.08333333333333333
tuning_judgment,1,120,0.375,0.0,0.0,0.34146341463414637,0.0,0.0,0.3333333333333333,0.0,0.0,0.03353658536585363
chord_quality,2,117,0.26495726495726496,0.0,0.0,0.20833333333333334,0.0,0.0,0.23076923076923078,0.0,0.0,0.05662393162393162
key_id,2,116,0.43103448275862066,0.0,0.0,0.30303030303030304,0.0,0.0,0.3333333333333333,0.0,0.0,0.12800417972831762
mode_id,2,128,0.203125,0.0,0.0,0.09523809523809523,0.0,0.0,0.5714285714285714,0.0,0.0,0.10788690476190477
progression_id,2,42,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
