task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.2222222222222222,0.0,0.0,0.4074074074074074,0.0,0.0,0.21428571428571427,0.0,0.0,-0.18518518518518517
cents_discrimination,1,180,0.16666666666666666,0.0,0.0,0.08928571428571429,0.42857142857142855,0.0,0.3,0.0,0.0,0.07738095238095237
instrument_id,1,90,0.5333333333333333,0.0,0.2,0.2857142857142857,0.0,0.0,0.375,0.0,0.0,0.24761904761904763
interval_id,1,178,0.15730337078651685,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,-0.09269662921348315
note_count,1,132,0.21212121212121213,0.0,0.0,0.18518518518518517,0.0,0.0,0.3333333333333333,0.0,0.0,0.026936026936026952
octave_id,1,93,0.45161290322580644,0.0,0.0,0.29411764705882354,0.0,0.0,0.3333333333333333,0.0,0.0,0.1574952561669829
pitch_note_id,1,90,0.4444444444444444,0.0,0.022222222222222223,0.2857142857142857,0.0,0.03571428571428571,0.5,0.0,0.0,0.15873015873015872
tempo_bpm,1,60,0.26666666666666666,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.21666666666666667
tuning_judgment,1,120,0.5666666666666667,0.0,0.0,0.4146341463414634,0.24390243902439024,0.0,0.5,0.0,0.0,0.15203252032520326
chord_quality,2,117,0.3418803418803419,0.0,0.0,0.2916666666666667,0.0,0.0,0.15384615384615385,0.0,0.0,0.0502136752136752
key_id,2,116,0.21551724137931033,0.0,0.04310344827586207,0.36363636363636365,0.0,0.0,0.2222222222222222,0.0,0.0,-0.14811912225705332
mode_id,2,128,0.25,0.0,0.0,0.4523809523809524,0.0,0.0,0.2857142857142857,0.0,0.0,-0.20238095238095238
progression_id,2,42,0.23809523809523808,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,-0.09523809523809523
