task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.25396825396825395,0.0,0.0,0.25925925925925924,0.0,0.0,0.5,0.0,0.0,-0.005291005291005291
cents_discrimination,1,180,0.4166666666666667,0.0,0.0,0.44642857142857145,0.0,0.0,0.4,0.0,0.0,-0.029761904761904767
instrument_id,1,90,0.5555555555555556,0.0,0.06666666666666667,0.39285714285714285,0.0,0.0,0.25,0.0,0.0,0.16269841269841273
interval_id,1,178,0.21348314606741572,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,-0.008739076154806485
note_count,1,132,0.30303030303030304,0.0,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,-0.14141414141414138
octave_id,1,93,0.41935483870967744,0.0,0.0,0.4117647058823529,0.0,0.0,0.4444444444444444,0.0,0.0,0.007590132827324514
pitch_note_id,1,90,0.7555555555555555,0.0,0.0,0.6785714285714286,0.0,0.0,0.25,0.0,0.0,0.07698412698412693
tempo_bpm,1,60,0.23333333333333334,0.0,0.0,0.15,0.0,0.0,0.5,0.0,0.0,0.08333333333333334
tuning_judgment,1,120,0.5833333333333334,0.0,0.0,0.6585365853658537,0.0,0.0,0.6666666666666666,0.0,0.0,-0.07520325203252032
chord_quality,2,117,0.3418803418803419,0.0,0.0,0.20833333333333334,0.0,0.0,0.38461538461538464,0.0,0.0,0.13354700854700854
key_id,2,116,0.4051724137931034,0.0,0.0,0.2727272727272727,0.0,0.0,0.2222222222222222,0.0,0.0,0.13244514106583072
mode_id,2,128,0.2109375,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.0,-0.12239583333333331
progression_id,2,42,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.14285714285714285
