task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.20634920634920634,0.0,0.0,0.37037037037037035,0.0,0.0,0.35714285714285715,0.0,0.0,-0.164021164021164
cents_discrimination,1,180,0.42777777777777776,0.0,0.0,0.44642857142857145,0.0,0.0,0.5,0.0,0.0,-0.018650793650793696
instrument_id,1,90,0.8444444444444444,0.0,0.044444444444444446,0.5,0.0,0.0,0.375,0.0,0.0,0.34444444444444444
interval_id,1,178,0.2303370786516854,0.0,0.0,0.2777777777777778,0.0,0.0,0.3333333333333333,0.0,0.0,-0.04744069912609239
note_count,1,132,0.45454545454545453,0.0,0.0,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0.01010101010101011
octave_id,1,93,0.3118279569892473,0.0,0.0,0.5294117647058824,0.0,0.0,0.3333333333333333,0.0,0.0,-0.21758380771663505
pitch_note_id,1,90,0.6888888888888889,0.0,0.0,0.35714285714285715,0.0,0.0,0.625,0.0,0.0,0.33174603174603173
tempo_bpm,1,60,0.4166666666666667,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2666666666666667
tuning_judgment,1,120,0.35833333333333334,0.0,0.0,0.34146341463414637,0.0,0.0,0.3333333333333333,0.0,0.0,0.01686991869918697
chord_quality,2,117,0.3162393162393162,0.0,0.0,0.25,0.0,0.0,0.15384615384615385,0.0,0.0,0.06623931623931623
key_id,2,116,0.3103448275862069,0.0,0.0,0.2727272727272727,0.0,0.0,0.2222222222222222,0.0,0.0,0.0376175548589342
mode_id,2,128,0.2109375,0.0,0.0,0.38095238095238093,0.0,0.0,0.42857142857142855,0.0,0.0,-0.17001488095238093
progression_id,2,42,0.2619047619047619,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.09523809523809526
