task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.20634920634920634,0.0,0.0,0.37037037037037035,0.0,0.0,0.5,0.0,0.0,-0.164021164021164
cents_discrimination,1,180,0.38333333333333336,0.0,0.0,0.44642857142857145,0.0,0.0,0.5,0.0,0.0,-0.0630952380952381
instrument_id,1,90,0.6444444444444445,0.0,0.044444444444444446,0.32142857142857145,0.0,0.0,0.25,0.0,0.0,0.32301587301587303
interval_id,1,178,0.21348314606741572,0.0,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.04681647940074907
note_count,1,132,0.2727272727272727,0.0,0.0,0.4074074074074074,0.0,0.0,0.4444444444444444,0.0,0.0,-0.13468013468013468
octave_id,1,93,0.3548387096774194,0.0,0.0,0.47058823529411764,0.0,0.0,0.3333333333333333,0.0,0.0,-0.11574952561669827
pitch_note_id,1,90,0.5777777777777777,0.0,0.0,0.42857142857142855,0.0,0.0,0.625,0.0,0.0,0.14920634920634918
tempo_bpm,1,60,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.05000000000000002
tuning_judgment,1,120,0.375,0.0,0.0,0.34146341463414637,0.0,0.0,0.25,0.0,0.0,0.03353658536585363
chord_quality,2,117,0.23076923076923078,0.0,0.0,0.041666666666666664,0.0,0.0,0.3076923076923077,0.0,0.0,0.18910256410256412
key_id,2,116,0.43103448275862066,0.0,0.0,0.30303030303030304,0.0,0.0,0.4444444444444444,0.0,0.0,0.12800417972831762
mode_id,2,128,0.265625,0.0,0.0,0.2857142857142857,0.0,0.0,0.21428571428571427,0.0,0.0,-0.0200892857142857
progression_id,2,42,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2619047619047619
