task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.21428571428571427,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,-0.11904761904761904
cents_discrimination,1,180,0.4166666666666667,0.0,0.0,0.44642857142857145,0.0,0.0,0.4,0.0,0.0,-0.029761904761904767
instrument_id,1,90,0.9,0.0,0.03333333333333333,0.4642857142857143,0.0,0.0,0.25,0.0,0.0,0.4357142857142857
interval_id,1,178,0.20224719101123595,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,-0.04775280898876405
note_count,1,132,0.3409090909090909,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,0.11868686868686867
octave_id,1,93,0.5268817204301075,0.0,0.0,0.29411764705882354,0.0,0.0,0.4444444444444444,0.0,0.0,0.23276407337128396
pitch_note_id,1,90,0.7444444444444445,0.0,0.0,0.6071428571428571,0.0,0.0,0.625,0.0,0.0,0.13730158730158737
tempo_bpm,1,60,0.5333333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.3833333333333333
tuning_judgment,1,120,0.38333333333333336,0.0,0.0,0.34146341463414637,0.0,0.0,0.3333333333333333,0.0,0.0,0.04186991869918699
chord_quality,2,117,0.29914529914529914,0.0,0.0,0.16666666666666666,0.0,0.0,0.23076923076923078,0.0,0.0,0.13247863247863248
key_id,2,116,0.75,0.0,0.0,0.3939393939393939,0.0,0.0,0.5555555555555556,0.0,0.0,0.3560606060606061
mode_id,2,128,0.2890625,0.0,0.0,0.2619047619047619,0.0,0.0,0.21428571428571427,0.0,0.0,0.027157738095238082
progression_id,2,42,0.19047619047619047,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.023809523809523808
