task,tier,n_audio,acc_audio,refused_audio,unparseable_audio,acc_no_audio,refused_no_audio,unparseable_no_audio,acc_wrong_audio,refused_wrong_audio,unparseable_wrong_audio,audio_gain
beats_per_bar,1,126,0.3412698412698413,0.0,0.015873015873015872,0.2222222222222222,0.4444444444444444,0.037037037037037035,0.2857142857142857,0.0,0.0,0.11904761904761907
cents_discrimination,1,180,0.3333333333333333,0.0,0.0,0.14285714285714285,0.7678571428571429,0.0,0.45,0.0,0.0,0.19047619047619047
interval_id,1,178,0.3707865168539326,0.0,0.011235955056179775,0.027777777777777776,0.8333333333333334,0.05555555555555555,0.3333333333333333,0.0,0.0,0.3430087390761548
note_count,1,132,0.4015151515151515,0.0,0.0,0.1111111111111111,0.5185185185185185,0.0,0.3333333333333333,0.0,0.0,0.2904040404040404
octave_id,1,93,0.3118279569892473,0.0,0.0,0.17647058823529413,0.7647058823529411,0.0,0.2222222222222222,0.0,0.0,0.13535736875395318
pitch_note_id,1,90,0.4888888888888889,0.0,0.0,0.2857142857142857,0.03571428571428571,0.0,0.5,0.0,0.0,0.20317460317460317
tempo_bpm,1,60,0.1,0.0,0.03333333333333333,0.0,0.7,0.0,0.0,0.0,0.5,0.1
tuning_judgment,1,120,0.49166666666666664,0.0,0.0,0.4146341463414634,0.21951219512195122,0.0,0.5,0.0,0.0,0.07703252032520325
chord_quality,2,117,0.4358974358974359,0.0,0.0,0.0,0.8333333333333334,0.0,0.15384615384615385,0.0,0.0,0.4358974358974359
key_id,2,116,0.3448275862068966,0.0,0.034482758620689655,0.42424242424242425,0.3939393939393939,0.0,0.6666666666666666,0.0,0.0,-0.07941483803552768
mode_id,2,128,0.3046875,0.0,0.03125,0.09523809523809523,0.5476190476190477,0.023809523809523808,0.21428571428571427,0.0,0.07142857142857142,0.20944940476190477
progression_id,2,42,0.2857142857142857,0.0,0.023809523809523808,0.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.2857142857142857
