task,step_0,step_1,step_2,step_3,decay_pp
key_id,0.3485387166341145,0.3439839680989583,0.360076904296875,0.332183837890625,1.635487874348951
beats_per_bar,0.3592529296875,0.3501358032226562,,,
chord_quality,0.2987569173177083,0.2959925333658854,,,
instrument_id,0.3043924967447917,0.2933502197265625,,,
interval_id,0.2650146484375,0.2627449035644531,,,
mode_id,0.3374608357747395,0.3346048990885417,,,
note_count,0.3013585408528645,0.2977638244628906,,,
octave_id,0.2846577962239583,0.284253438313802,,,
pitch_note_id,0.2930857340494792,0.2942352294921875,0.297698974609375,,
progression_id,0.3529866536458333,0.351056416829427,,,
