layer,probe_acc,chance,encoder,task,target
0,0.1976190476190476,0.125,af3_own,chord_quality,quality
1,0.2273809523809523,0.125,af3_own,chord_quality,quality
2,0.2265873015873016,0.125,af3_own,chord_quality,quality
3,0.2075396825396825,0.125,af3_own,chord_quality,quality
4,0.2071428571428571,0.125,af3_own,chord_quality,quality
5,0.2234126984126984,0.125,af3_own,chord_quality,quality
6,0.2043650793650794,0.125,af3_own,chord_quality,quality
7,0.1996031746031746,0.125,af3_own,chord_quality,quality
8,0.1884920634920635,0.125,af3_own,chord_quality,quality
9,0.2103174603174603,0.125,af3_own,chord_quality,quality
10,0.1833333333333333,0.125,af3_own,chord_quality,quality
11,0.1880952380952381,0.125,af3_own,chord_quality,quality
12,0.1972222222222222,0.125,af3_own,chord_quality,quality
13,0.219047619047619,0.125,af3_own,chord_quality,quality
14,0.2301587301587301,0.125,af3_own,chord_quality,quality
15,0.2301587301587301,0.125,af3_own,chord_quality,quality
16,0.2301587301587301,0.125,af3_own,chord_quality,quality
17,0.2134920634920634,0.125,af3_own,chord_quality,quality
18,0.2623015873015873,0.125,af3_own,chord_quality,quality
19,0.2265873015873016,0.125,af3_own,chord_quality,quality
20,0.2166666666666666,0.125,af3_own,chord_quality,quality
21,0.1916666666666666,0.125,af3_own,chord_quality,quality
22,0.1638888888888889,0.125,af3_own,chord_quality,quality
23,0.1496031746031746,0.125,af3_own,chord_quality,quality
24,0.1666666666666666,0.125,af3_own,chord_quality,quality
25,0.1916666666666666,0.125,af3_own,chord_quality,quality
26,0.1936507936507936,0.125,af3_own,chord_quality,quality
27,0.1634920634920634,0.125,af3_own,chord_quality,quality
28,0.1277777777777777,0.125,af3_own,chord_quality,quality
29,0.1416666666666666,0.125,af3_own,chord_quality,quality
30,0.1257936507936508,0.125,af3_own,chord_quality,quality
31,0.1357142857142857,0.125,af3_own,chord_quality,quality
32,0.1134920634920634,0.125,af3_own,chord_quality,quality
0,0.1259141436302472,0.0833333333333333,af3_own,interval_id,ground_truth
1,0.0957138852323143,0.0833333333333333,af3_own,interval_id,ground_truth
2,0.1391478962507922,0.0833333333333333,af3_own,interval_id,ground_truth
3,0.1196248354541465,0.0833333333333333,af3_own,interval_id,ground_truth
4,0.1435357856759787,0.0833333333333333,af3_own,interval_id,ground_truth
5,0.1364389839598264,0.0833333333333333,af3_own,interval_id,ground_truth
6,0.1364389839598264,0.0833333333333333,af3_own,interval_id,ground_truth
7,0.1496727365803715,0.0833333333333333,af3_own,interval_id,ground_truth
8,0.1784103651699088,0.0833333333333333,af3_own,interval_id,ground_truth
9,0.1825819072692701,0.0833333333333333,af3_own,interval_id,ground_truth
10,0.1809669201891668,0.0833333333333333,af3_own,interval_id,ground_truth
11,0.1328585880746916,0.0833333333333333,af3_own,interval_id,ground_truth
12,0.1364389839598264,0.0833333333333333,af3_own,interval_id,ground_truth
13,0.1643691190093121,0.0833333333333333,af3_own,interval_id,ground_truth
14,0.1435357856759787,0.0833333333333333,af3_own,interval_id,ground_truth
15,0.1343212178830871,0.0833333333333333,af3_own,interval_id,ground_truth
16,0.1357838476914826,0.0833333333333333,af3_own,interval_id,ground_truth
17,0.1357838476914826,0.0833333333333333,af3_own,interval_id,ground_truth
18,0.1412656623275315,0.0833333333333333,af3_own,interval_id,ground_truth
19,0.1490176003120276,0.0833333333333333,af3_own,interval_id,ground_truth
20,0.1335137243430354,0.0833333333333333,af3_own,interval_id,ground_truth
21,0.1419207985958754,0.0833333333333333,af3_own,interval_id,ground_truth
22,0.161443859392521,0.0833333333333333,af3_own,interval_id,ground_truth
23,0.1735196967480864,0.0833333333333333,af3_own,interval_id,ground_truth
24,0.1336660816147433,0.0833333333333333,af3_own,interval_id,ground_truth
25,0.1262188581736629,0.0833333333333333,af3_own,interval_id,ground_truth
26,0.1239487348252157,0.0833333333333333,af3_own,interval_id,ground_truth
27,0.096521378772366,0.0833333333333333,af3_own,interval_id,ground_truth
28,0.1028106869484666,0.0833333333333333,af3_own,interval_id,ground_truth
29,0.1105626249329628,0.0833333333333333,af3_own,interval_id,ground_truth
30,0.1252590073619033,0.0833333333333333,af3_own,interval_id,ground_truth
31,0.1251066500901955,0.0833333333333333,af3_own,interval_id,ground_truth
