layer,probe_acc,chance
0,0.1976190476190476,0.125
1,0.22738095238095238,0.125
2,0.2265873015873016,0.125
3,0.20753968253968255,0.125
4,0.20714285714285716,0.125
5,0.22341269841269842,0.125
6,0.2043650793650794,0.125
7,0.1996031746031746,0.125
8,0.1884920634920635,0.125
9,0.21031746031746032,0.125
10,0.18333333333333335,0.125
11,0.1880952380952381,0.125
12,0.19722222222222222,0.125
13,0.21904761904761902,0.125
14,0.23015873015873015,0.125
15,0.23015873015873015,0.125
16,0.23015873015873015,0.125
17,0.21349206349206348,0.125
18,0.2623015873015873,0.125
19,0.2265873015873016,0.125
20,0.21666666666666667,0.125
21,0.19166666666666668,0.125
22,0.1638888888888889,0.125
23,0.1496031746031746,0.125
24,0.16666666666666666,0.125
25,0.19166666666666668,0.125
26,0.19365079365079363,0.125
27,0.16349206349206347,0.125
28,0.12777777777777777,0.125
29,0.14166666666666666,0.125
30,0.1257936507936508,0.125
31,0.1357142857142857,0.125
32,0.11349206349206348,0.125
