layer,probe_acc,chance
0,0.15,0.125
1,0.17857142857142858,0.125
2,0.1638888888888889,0.125
3,0.23769841269841271,0.125
4,0.23769841269841271,0.125
5,0.2126984126984127,0.125
6,0.20476190476190473,0.125
7,0.1884920634920635,0.125
8,0.1638888888888889,0.125
9,0.19999999999999998,0.125
10,0.16706349206349205,0.125
11,0.19999999999999998,0.125
12,0.19206349206349205,0.125
13,0.15912698412698412,0.125
14,0.13412698412698412,0.125
15,0.14206349206349206,0.125
16,0.18095238095238095,0.125
17,0.1869047619047619,0.125
18,0.19484126984126984,0.125
19,0.16190476190476188,0.125
20,0.16190476190476188,0.125
21,0.17777777777777778,0.125
22,0.17261904761904764,0.125
23,0.2027777777777778,0.125
24,0.18055555555555555,0.125
