layer,probe_acc,chance
0,0.7722222222222221,0.25
1,0.76010101010101,0.25
2,0.8015151515151516,0.25
3,0.7727272727272728,0.25
4,0.8212121212121213,0.25
5,0.8338383838383838,0.25
6,0.86010101010101,0.25
7,0.8919191919191919,0.25
8,0.8792929292929292,0.25
9,0.9111111111111111,0.25
10,0.895959595959596,0.25
11,0.9015151515151515,0.25
12,0.8626262626262626,0.25
13,0.8363636363636363,0.25
14,0.8530303030303029,0.25
15,0.8363636363636363,0.25
16,0.8919191919191919,0.25
17,0.7863636363636365,0.25
18,0.7767676767676767,0.25
19,0.7616161616161615,0.25
20,0.8085858585858586,0.25
21,0.8045454545454546,0.25
22,0.8055555555555555,0.25
23,0.8055555555555555,0.25
24,0.7434343434343433,0.25
