layer,probe_acc,chance
0,0.28439153439153436,0.2
1,0.3174603174603175,0.2
2,0.37566137566137564,0.2
3,0.3849206349206349,0.2
4,0.39021164021164023,0.2
5,0.3994708994708995,0.2
6,0.40873015873015867,0.2
7,0.37566137566137564,0.2
8,0.40343915343915343,0.2
9,0.41269841269841273,0.2
10,0.40343915343915343,0.2
11,0.3968253968253968,0.2
12,0.3875661375661376,0.2
13,0.3783068783068783,0.2
14,0.3994708994708995,0.2
15,0.3849206349206349,0.2
16,0.3637566137566138,0.2
17,0.3902116402116402,0.2
18,0.32010582010582006,0.2
19,0.3505291005291005,0.2
20,0.3875661375661376,0.2
21,0.3875661375661376,0.2
22,0.3452380952380952,0.2
23,0.35714285714285715,0.2
24,0.35714285714285715,0.2
