layer,probe_acc,chance
0,0.21349206349206348,0.125
1,0.2353174603174603,0.125
2,0.1773809523809524,0.125
3,0.21865079365079365,0.125
4,0.1992063492063492,0.125
5,0.2496031746031746,0.125
6,0.21031746031746032,0.125
7,0.22738095238095238,0.125
8,0.20238095238095236,0.125
9,0.22936507936507936,0.125
10,0.22936507936507936,0.125
11,0.19047619047619047,0.125
12,0.2043650793650794,0.125
13,0.1996031746031746,0.125
14,0.1884920634920635,0.125
15,0.18253968253968253,0.125
16,0.15555555555555556,0.125
17,0.17777777777777778,0.125
18,0.21071428571428572,0.125
19,0.19682539682539682,0.125
20,0.19999999999999998,0.125
21,0.21071428571428572,0.125
22,0.18253968253968253,0.125
23,0.1773809523809524,0.125
24,0.17777777777777778,0.125
25,0.18888888888888888,0.125
26,0.1869047619047619,0.125
27,0.18373015873015874,0.125
28,0.16468253968253968,0.125
29,0.16468253968253968,0.125
30,0.1865079365079365,0.125
31,0.1869047619047619,0.125
32,0.14563492063492064,0.125
