layer,probe_acc,chance
0,0.13769841269841268,0.125
1,0.13968253968253966,0.125
2,0.14563492063492064,0.125
3,0.15079365079365079,0.125
4,0.1996031746031746,0.125
5,0.17777777777777778,0.125
6,0.1607142857142857,0.125
7,0.21587301587301586,0.125
8,0.23134920634920633,0.125
9,0.20753968253968255,0.125
10,0.1884920634920635,0.125
11,0.21031746031746032,0.125
12,0.20753968253968255,0.125
13,0.22142857142857142,0.125
14,0.20753968253968255,0.125
15,0.21031746031746032,0.125
16,0.2150793650793651,0.125
17,0.203968253968254,0.125
18,0.203968253968254,0.125
19,0.203968253968254,0.125
20,0.15714285714285714,0.125
21,0.16507936507936508,0.125
22,0.171031746031746,0.125
23,0.20476190476190478,0.125
24,0.176984126984127,0.125
25,0.19087301587301586,0.125
26,0.20476190476190478,0.125
27,0.20476190476190478,0.125
28,0.20476190476190478,0.125
29,0.2345238095238095,0.125
30,0.20476190476190478,0.125
31,0.18293650793650795,0.125
32,0.14722222222222223,0.125
