layer,probe_acc,chance
0,0.18531746031746033,0.125
1,0.23015873015873015,0.125
2,0.26190476190476186,0.125
3,0.21031746031746032,0.125
4,0.21626984126984125,0.125
5,0.26825396825396824,0.125
6,0.2825396825396825,0.125
7,0.2515873015873016,0.125
8,0.2353174603174603,0.125
9,0.2734126984126984,0.125
10,0.24047619047619048,0.125
11,0.2246031746031746,0.125
12,0.24365079365079365,0.125
13,0.23571428571428568,0.125
14,0.24365079365079365,0.125
15,0.2246031746031746,0.125
16,0.1884920634920635,0.125
17,0.1996031746031746,0.125
18,0.21031746031746032,0.125
19,0.21031746031746032,0.125
20,0.23055555555555554,0.125
21,0.22142857142857142,0.125
22,0.25833333333333336,0.125
23,0.25436507936507935,0.125
24,0.2384920634920635,0.125
25,0.22738095238095238,0.125
26,0.25833333333333336,0.125
27,0.2492063492063492,0.125
28,0.22738095238095238,0.125
29,0.22023809523809523,0.125
30,0.22936507936507936,0.125
31,0.22738095238095238,0.125
32,0.18611111111111112,0.125
