layer,probe_acc,chance
0,0.7171717171717171,0.25
1,0.7616161616161615,0.25
2,0.8626262626262626,0.25
3,0.8792929292929293,0.25
4,0.895959595959596,0.25
5,0.9111111111111111,0.25
6,0.9388888888888888,0.25
7,0.9222222222222222,0.25
8,0.9166666666666666,0.25
9,0.8944444444444445,0.25
10,0.8833333333333334,0.25
11,0.9111111111111111,0.25
12,0.9055555555555556,0.25
13,0.8888888888888888,0.25
14,0.8944444444444445,0.25
15,0.9111111111111111,0.25
16,0.9333333333333332,0.25
17,0.8888888888888888,0.25
18,0.9222222222222222,0.25
19,0.9,0.25
20,0.8777777777777778,0.25
21,0.8777777777777778,0.25
22,0.8722222222222222,0.25
23,0.8737373737373737,0.25
24,0.8888888888888888,0.25
25,0.9,0.25
26,0.8944444444444444,0.25
27,0.8792929292929292,0.25
28,0.8919191919191919,0.25
29,0.9222222222222222,0.25
30,0.9111111111111111,0.25
31,0.9111111111111111,0.25
32,0.9444444444444445,0.25
