layer,probe_acc,chance
0,0.33465608465608465,0.2
1,0.4523809523809524,0.2
2,0.45502645502645506,0.2
3,0.46164021164021163,0.2
4,0.4761904761904762,0.2
5,0.5105820105820106,0.2
6,0.4682539682539682,0.2
7,0.4775132275132275,0.2
8,0.4973544973544974,0.2
9,0.48280423280423285,0.2
10,0.5224867724867724,0.2
11,0.5079365079365079,0.2
12,0.49603174603174605,0.2
13,0.4775132275132275,0.2
14,0.49603174603174605,0.2
15,0.48015873015873006,0.2
16,0.4775132275132275,0.2
17,0.4272486772486772,0.2
18,0.42460317460317465,0.2
19,0.4576719576719577,0.2
20,0.46428571428571425,0.2
21,0.4973544973544974,0.2
22,0.4272486772486772,0.2
23,0.49074074074074076,0.2
24,0.4920634920634921,0.2
25,0.48677248677248675,0.2
26,0.46296296296296297,0.2
27,0.4351851851851852,0.2
28,0.44973544973544977,0.2
29,0.4444444444444444,0.2
30,0.43783068783068785,0.2
31,0.47354497354497355,0.2
32,0.4523809523809524,0.2
