layer,probe_acc,chance
0,0.44595959595959594,0.08333333333333333
1,0.3409090909090909,0.08333333333333333
2,0.302020202020202,0.08333333333333333
3,0.28383838383838383,0.08333333333333333
4,0.23131313131313128,0.08333333333333333
5,0.22020202020202018,0.08333333333333333
6,0.21464646464646464,0.08333333333333333
7,0.23131313131313128,0.08333333333333333
8,0.22575757575757574,0.08333333333333333
9,0.23131313131313128,0.08333333333333333
10,0.23686868686868687,0.08333333333333333
11,0.23838383838383836,0.08333333333333333
12,0.19949494949494948,0.08333333333333333
13,0.151010101010101,0.08333333333333333
14,0.16616161616161615,0.08333333333333333
15,0.15808080808080807,0.08333333333333333
16,0.17727272727272728,0.08333333333333333
17,0.151010101010101,0.08333333333333333
18,0.19242424242424241,0.08333333333333333
19,0.1994949494949495,0.08333333333333333
20,0.1621212121212121,0.08333333333333333
21,0.15656565656565657,0.08333333333333333
22,0.16767676767676767,0.08333333333333333
23,0.16767676767676767,0.08333333333333333
24,0.1414141414141414,0.08333333333333333
25,0.11919191919191918,0.08333333333333333
26,0.13030303030303028,0.08333333333333333
27,0.13030303030303028,0.08333333333333333
28,0.13030303030303028,0.08333333333333333
29,0.13030303030303028,0.08333333333333333
30,0.14696969696969697,0.08333333333333333
31,0.1414141414141414,0.08333333333333333
32,0.11919191919191918,0.08333333333333333
