encoder,task,layer,bal_acc,null_mean,null_std,p_perm,oracle_f0,n,acc_5c,acc_10c,acc_25c,acc_50c,acc_100c
whisper,cents,0,0.6999,0.5043,0.049,0.005,1.0,150,0.5675,0.7905,0.6833,0.6079,0.8025
whisper,cents,16,0.6744,0.4987,0.0469,0.005,1.0,150,0.3706,0.6333,0.6738,0.7564,0.9267
whisper,cents,32,0.7377,0.4974,0.0492,0.005,1.0,150,0.6294,0.6905,0.6119,0.8164,0.9667
mert330,cents,0,0.8154,0.507,0.0456,0.005,1.0,150,0.7627,0.8143,0.8429,0.7567,0.8933
mert330,cents,12,0.5477,0.4956,0.0521,0.1542,1.0,150,0.4556,0.5429,0.5976,0.474,0.7203
mert330,cents,24,0.504,0.4964,0.0499,0.4577,1.0,150,0.4937,0.3714,0.5548,0.4902,0.7137
clap,cents,0,0.6097,0.5028,0.0458,0.01,1.0,150,0.5111,0.519,0.7119,0.5443,0.6692
clap,cents,2,0.4873,0.4981,0.0485,0.592,1.0,150,0.3603,0.5524,0.619,0.3407,0.4213
clap,cents,4,0.4793,0.4999,0.0456,0.6667,1.0,150,0.5159,0.5667,0.5143,0.3757,0.4035
qwen25omni_own,cents,0,0.5612,0.5009,0.0489,0.1294,1.0,150,0.3984,0.6095,0.6167,0.5245,0.6946
qwen25omni_own,cents,16,0.7048,0.4968,0.049,0.005,1.0,150,0.4881,0.5762,0.7333,0.8433,0.9267
qwen25omni_own,cents,32,0.6509,0.4964,0.0449,0.005,1.0,150,0.4333,0.6429,0.6286,0.7195,0.8933
qwen3omni_own,cents,0,0.5153,0.5029,0.0475,0.408,1.0,150,0.5222,0.5095,0.5024,0.4329,0.6454
qwen3omni_own,cents,16,0.9682,0.4995,0.0448,0.005,1.0,150,0.927,0.9381,1.0,1.0,1.0
qwen3omni_own,cents,32,0.9366,0.5021,0.0472,0.005,1.0,150,0.7881,0.9048,0.9714,1.0,1.0
af3_own,cents,0,0.5276,0.4971,0.0512,0.2985,1.0,150,0.3706,0.5667,0.5476,0.446,0.7121
af3_own,cents,16,0.7457,0.4986,0.0472,0.005,1.0,150,0.6833,0.6952,0.6452,0.8683,0.9267
af3_own,cents,32,0.7083,0.4966,0.0459,0.005,1.0,150,0.5659,0.5714,0.7333,0.8081,0.9044
musicflamingo_own,cents,0,0.5675,0.495,0.0475,0.0746,1.0,150,0.4556,0.5095,0.5857,0.5193,0.7692
musicflamingo_own,cents,16,0.7634,0.4976,0.0452,0.005,1.0,150,0.6302,0.6333,0.7405,0.9267,0.9044
musicflamingo_own,cents,32,0.6271,0.5066,0.0481,0.005,1.0,150,0.3254,0.581,0.6405,0.7348,0.9267
