encoder,task,layer,mae_cents,snap_mae_cents,beats_snap_cents,r2,n
whisper,tuning,0,20.41,15.0,-5.41,-0.5531,120
whisper,tuning,1,19.48,15.0,-4.48,-0.4604,120
whisper,tuning,2,18.49,15.0,-3.49,-0.2853,120
whisper,tuning,3,18.03,15.0,-3.03,-0.3351,120
whisper,tuning,4,19.13,15.0,-4.13,-0.4616,120
whisper,tuning,5,18.59,15.0,-3.59,-0.4003,120
whisper,tuning,6,18.33,15.0,-3.33,-0.3615,120
whisper,tuning,7,18.38,15.0,-3.38,-0.363,120
whisper,tuning,8,17.8,15.0,-2.8,-0.2615,120
whisper,tuning,9,18.86,15.0,-3.86,-0.3476,120
whisper,tuning,10,17.64,15.0,-2.64,-0.2445,120
whisper,tuning,11,17.63,15.0,-2.63,-0.2258,120
whisper,tuning,12,16.7,15.0,-1.7,-0.1048,120
whisper,tuning,13,17.48,15.0,-2.48,-0.2406,120
whisper,tuning,14,17.45,15.0,-2.45,-0.2346,120
whisper,tuning,15,16.83,15.0,-1.83,-0.1628,120
whisper,tuning,16,17.43,15.0,-2.43,-0.2335,120
whisper,tuning,17,17.63,15.0,-2.63,-0.2427,120
whisper,tuning,18,16.16,15.0,-1.16,-0.0635,120
whisper,tuning,19,16.22,15.0,-1.22,-0.0634,120
whisper,tuning,20,16.14,15.0,-1.14,-0.0534,120
whisper,tuning,21,17.16,15.0,-2.16,-0.2117,120
whisper,tuning,22,17.21,15.0,-2.21,-0.198,120
whisper,tuning,23,17.16,15.0,-2.16,-0.1895,120
whisper,tuning,24,17.29,15.0,-2.29,-0.2311,120
whisper,tuning,25,17.41,15.0,-2.41,-0.2318,120
whisper,tuning,26,16.96,15.0,-1.96,-0.1783,120
whisper,tuning,27,17.26,15.0,-2.26,-0.1691,120
whisper,tuning,28,16.75,15.0,-1.75,-0.0834,120
whisper,tuning,29,16.8,15.0,-1.8,-0.0894,120
whisper,tuning,30,16.72,15.0,-1.72,-0.0831,120
whisper,tuning,31,18.58,15.0,-3.58,-0.3227,120
whisper,tuning,32,16.84,15.0,-1.84,-0.1095,120
mert330,tuning,0,17.14,15.0,-2.14,-0.1499,120
mert330,tuning,1,16.98,15.0,-1.98,-0.1541,120
mert330,tuning,2,18.15,15.0,-3.15,-0.3131,120
mert330,tuning,3,16.68,15.0,-1.68,-0.1912,120
mert330,tuning,4,16.74,15.0,-1.74,-0.2189,120
mert330,tuning,5,17.68,15.0,-2.68,-0.2764,120
mert330,tuning,6,18.38,15.0,-3.38,-0.3836,120
mert330,tuning,7,18.94,15.0,-3.94,-0.4218,120
mert330,tuning,8,19.95,15.0,-4.95,-0.5292,120
mert330,tuning,9,19.95,15.0,-4.95,-0.4792,120
mert330,tuning,10,18.92,15.0,-3.92,-0.3913,120
mert330,tuning,11,19.07,15.0,-4.07,-0.4743,120
mert330,tuning,12,20.64,15.0,-5.64,-0.6966,120
mert330,tuning,13,21.18,15.0,-6.18,-0.6728,120
mert330,tuning,14,21.46,15.0,-6.46,-0.7009,120
mert330,tuning,15,21.15,15.0,-6.15,-0.67,120
mert330,tuning,16,18.02,15.0,-3.02,-0.2703,120
mert330,tuning,17,18.1,15.0,-3.1,-0.2852,120
mert330,tuning,18,18.07,15.0,-3.07,-0.2912,120
mert330,tuning,19,18.77,15.0,-3.77,-0.3436,120
mert330,tuning,20,18.02,15.0,-3.02,-0.2835,120
mert330,tuning,21,16.92,15.0,-1.92,-0.2403,120
mert330,tuning,22,16.9,15.0,-1.9,-0.2284,120
mert330,tuning,23,17.86,15.0,-2.86,-0.3421,120
mert330,tuning,24,16.92,15.0,-1.92,-0.2364,120
clap,tuning,0,16.05,15.0,-1.05,-0.0621,120
clap,tuning,1,18.11,15.0,-3.11,-0.2203,120
clap,tuning,2,15.35,15.0,-0.35,-0.0225,120
clap,tuning,3,16.35,15.0,-1.35,-0.0995,120
clap,tuning,4,15.73,15.0,-0.73,-0.061,120
qwen25omni_own,tuning,0,22.11,15.0,-7.11,-0.7672,120
qwen25omni_own,tuning,1,20.72,15.0,-5.72,-0.6782,120
qwen25omni_own,tuning,2,20.16,15.0,-5.16,-0.6079,120
qwen25omni_own,tuning,3,18.71,15.0,-3.71,-0.3666,120
qwen25omni_own,tuning,4,18.39,15.0,-3.39,-0.3533,120
qwen25omni_own,tuning,5,18.43,15.0,-3.43,-0.3681,120
qwen25omni_own,tuning,6,18.33,15.0,-3.33,-0.3475,120
qwen25omni_own,tuning,7,18.3,15.0,-3.3,-0.3427,120
qwen25omni_own,tuning,8,18.25,15.0,-3.25,-0.3507,120
qwen25omni_own,tuning,9,18.64,15.0,-3.64,-0.3772,120
qwen25omni_own,tuning,10,18.82,15.0,-3.82,-0.3996,120
qwen25omni_own,tuning,11,18.66,15.0,-3.66,-0.3871,120
qwen25omni_own,tuning,12,18.95,15.0,-3.95,-0.4127,120
qwen25omni_own,tuning,13,19.15,15.0,-4.15,-0.4062,120
qwen25omni_own,tuning,14,19.42,15.0,-4.42,-0.4179,120
qwen25omni_own,tuning,15,19.44,15.0,-4.44,-0.4059,120
qwen25omni_own,tuning,16,19.67,15.0,-4.67,-0.406,120
qwen25omni_own,tuning,17,19.59,15.0,-4.59,-0.4033,120
qwen25omni_own,tuning,18,19.47,15.0,-4.47,-0.381,120
qwen25omni_own,tuning,19,19.55,15.0,-4.55,-0.3897,120
qwen25omni_own,tuning,20,19.56,15.0,-4.56,-0.3837,120
qwen25omni_own,tuning,21,19.8,15.0,-4.8,-0.4497,120
qwen25omni_own,tuning,22,19.94,15.0,-4.94,-0.4273,120
qwen25omni_own,tuning,23,20.28,15.0,-5.28,-0.4542,120
qwen25omni_own,tuning,24,21.4,15.0,-6.4,-0.567,120
qwen25omni_own,tuning,25,21.59,15.0,-6.59,-0.5945,120
qwen25omni_own,tuning,26,21.0,15.0,-6.0,-0.5359,120
qwen25omni_own,tuning,27,20.48,15.0,-5.48,-0.4808,120
qwen25omni_own,tuning,28,20.08,15.0,-5.08,-0.415,120
qwen25omni_own,tuning,29,19.37,15.0,-4.37,-0.3763,120
qwen25omni_own,tuning,30,19.99,15.0,-4.99,-0.4408,120
qwen25omni_own,tuning,31,20.09,15.0,-5.09,-0.4996,120
qwen25omni_own,tuning,32,20.5,15.0,-5.5,-0.5388,120
qwen3omni_own,tuning,0,19.43,15.0,-4.43,-0.4539,120
qwen3omni_own,tuning,1,19.48,15.0,-4.48,-0.4592,120
qwen3omni_own,tuning,2,19.2,15.0,-4.2,-0.4431,120
qwen3omni_own,tuning,3,19.54,15.0,-4.54,-0.4671,120
qwen3omni_own,tuning,4,19.7,15.0,-4.7,-0.4246,120
qwen3omni_own,tuning,5,18.65,15.0,-3.65,-0.3391,120
qwen3omni_own,tuning,6,20.02,15.0,-5.02,-0.6072,120
qwen3omni_own,tuning,7,19.96,15.0,-4.96,-0.5787,120
qwen3omni_own,tuning,8,17.67,15.0,-2.67,-0.2088,120
qwen3omni_own,tuning,9,17.65,15.0,-2.65,-0.2003,120
qwen3omni_own,tuning,10,18.03,15.0,-3.03,-0.229,120
qwen3omni_own,tuning,11,18.75,15.0,-3.75,-0.3066,120
qwen3omni_own,tuning,12,21.05,15.0,-6.05,-0.5874,120
qwen3omni_own,tuning,13,20.52,15.0,-5.52,-0.5347,120
qwen3omni_own,tuning,14,18.13,15.0,-3.13,-0.2312,120
qwen3omni_own,tuning,15,18.26,15.0,-3.26,-0.2403,120
qwen3omni_own,tuning,16,18.25,15.0,-3.25,-0.2353,120
qwen3omni_own,tuning,17,17.61,15.0,-2.61,-0.1734,120
qwen3omni_own,tuning,18,17.61,15.0,-2.61,-0.1732,120
qwen3omni_own,tuning,19,18.16,15.0,-3.16,-0.2228,120
qwen3omni_own,tuning,20,18.15,15.0,-3.15,-0.2223,120
qwen3omni_own,tuning,21,18.17,15.0,-3.17,-0.2215,120
qwen3omni_own,tuning,22,18.12,15.0,-3.12,-0.218,120
qwen3omni_own,tuning,23,17.98,15.0,-2.98,-0.211,120
qwen3omni_own,tuning,24,18.47,15.0,-3.47,-0.2624,120
qwen3omni_own,tuning,25,17.89,15.0,-2.89,-0.2106,120
qwen3omni_own,tuning,26,17.89,15.0,-2.89,-0.2082,120
qwen3omni_own,tuning,27,17.8,15.0,-2.8,-0.2024,120
qwen3omni_own,tuning,28,17.69,15.0,-2.69,-0.2079,120
qwen3omni_own,tuning,29,17.64,15.0,-2.64,-0.2083,120
qwen3omni_own,tuning,30,17.62,15.0,-2.62,-0.1997,120
qwen3omni_own,tuning,31,17.49,15.0,-2.49,-0.1961,120
qwen3omni_own,tuning,32,18.05,15.0,-3.05,-0.2523,120
af3_own,tuning,0,20.07,15.0,-5.07,-0.4625,120
af3_own,tuning,1,21.92,15.0,-6.92,-0.9381,120
af3_own,tuning,2,21.92,15.0,-6.92,-0.8944,120
af3_own,tuning,3,20.47,15.0,-5.47,-0.6014,120
af3_own,tuning,4,20.21,15.0,-5.21,-0.5579,120
af3_own,tuning,5,19.44,15.0,-4.44,-0.4747,120
af3_own,tuning,6,19.61,15.0,-4.61,-0.4892,120
af3_own,tuning,7,19.45,15.0,-4.45,-0.4651,120
af3_own,tuning,8,19.59,15.0,-4.59,-0.4862,120
af3_own,tuning,9,19.41,15.0,-4.41,-0.4833,120
af3_own,tuning,10,19.99,15.0,-4.99,-0.5438,120
af3_own,tuning,11,19.97,15.0,-4.97,-0.5557,120
af3_own,tuning,12,19.42,15.0,-4.42,-0.5084,120
af3_own,tuning,13,19.22,15.0,-4.22,-0.4967,120
af3_own,tuning,14,19.4,15.0,-4.4,-0.5146,120
af3_own,tuning,15,19.57,15.0,-4.57,-0.5339,120
af3_own,tuning,16,19.43,15.0,-4.43,-0.5172,120
af3_own,tuning,17,19.65,15.0,-4.65,-0.5456,120
af3_own,tuning,18,19.33,15.0,-4.33,-0.4955,120
af3_own,tuning,19,19.17,15.0,-4.17,-0.474,120
af3_own,tuning,20,19.03,15.0,-4.03,-0.468,120
af3_own,tuning,21,19.11,15.0,-4.11,-0.4703,120
af3_own,tuning,22,19.63,15.0,-4.63,-0.6122,120
af3_own,tuning,23,18.98,15.0,-3.98,-0.3692,120
af3_own,tuning,24,18.91,15.0,-3.91,-0.3623,120
af3_own,tuning,25,18.19,15.0,-3.19,-0.2477,120
af3_own,tuning,26,17.39,15.0,-2.39,-0.1608,120
af3_own,tuning,27,17.24,15.0,-2.24,-0.1522,120
af3_own,tuning,28,17.2,15.0,-2.2,-0.1533,120
af3_own,tuning,29,18.46,15.0,-3.46,-0.3337,120
af3_own,tuning,30,18.85,15.0,-3.85,-0.3711,120
af3_own,tuning,31,21.06,15.0,-6.06,-0.7761,120
af3_own,tuning,32,18.68,15.0,-3.68,-0.4183,120
musicflamingo_own,tuning,0,20.02,15.0,-5.02,-0.4746,120
musicflamingo_own,tuning,1,21.76,15.0,-6.76,-0.9711,120
musicflamingo_own,tuning,2,22.87,15.0,-7.87,-1.1179,120
musicflamingo_own,tuning,3,21.64,15.0,-6.64,-0.8291,120
musicflamingo_own,tuning,4,20.81,15.0,-5.81,-0.6591,120
musicflamingo_own,tuning,5,20.23,15.0,-5.23,-0.5815,120
musicflamingo_own,tuning,6,20.48,15.0,-5.48,-0.5943,120
musicflamingo_own,tuning,7,20.26,15.0,-5.26,-0.5801,120
musicflamingo_own,tuning,8,19.91,15.0,-4.91,-0.5255,120
musicflamingo_own,tuning,9,20.22,15.0,-5.22,-0.5592,120
musicflamingo_own,tuning,10,19.97,15.0,-4.97,-0.5376,120
musicflamingo_own,tuning,11,19.44,15.0,-4.44,-0.47,120
musicflamingo_own,tuning,12,19.35,15.0,-4.35,-0.476,120
musicflamingo_own,tuning,13,19.32,15.0,-4.32,-0.4724,120
musicflamingo_own,tuning,14,19.43,15.0,-4.43,-0.4838,120
musicflamingo_own,tuning,15,19.09,15.0,-4.09,-0.4523,120
musicflamingo_own,tuning,16,18.91,15.0,-3.91,-0.4283,120
musicflamingo_own,tuning,17,18.9,15.0,-3.9,-0.4353,120
musicflamingo_own,tuning,18,18.96,15.0,-3.96,-0.4449,120
musicflamingo_own,tuning,19,18.88,15.0,-3.88,-0.4414,120
musicflamingo_own,tuning,20,18.88,15.0,-3.88,-0.444,120
musicflamingo_own,tuning,21,19.66,15.0,-4.66,-0.6036,120
musicflamingo_own,tuning,22,19.23,15.0,-4.23,-0.4808,120
musicflamingo_own,tuning,23,19.5,15.0,-4.5,-0.507,120
musicflamingo_own,tuning,24,22.05,15.0,-7.05,-1.0304,120
musicflamingo_own,tuning,25,22.44,15.0,-7.44,-1.074,120
musicflamingo_own,tuning,26,22.07,15.0,-7.07,-1.0318,120
musicflamingo_own,tuning,27,17.01,15.0,-2.01,-0.1392,120
musicflamingo_own,tuning,28,17.09,15.0,-2.09,-0.1456,120
musicflamingo_own,tuning,29,17.86,15.0,-2.86,-0.2329,120
musicflamingo_own,tuning,30,17.89,15.0,-2.89,-0.2408,120
musicflamingo_own,tuning,31,17.22,15.0,-2.22,-0.1573,120
musicflamingo_own,tuning,32,17.01,15.0,-2.01,-0.1397,120
