layer,probe_acc_mlp,chance
0,0.16626984126984126,0.125
1,0.1623015873015873,0.125
2,0.19007936507936507,0.125
3,0.12976190476190477,0.125
4,0.14642857142857144,0.125
5,0.1603174603174603,0.125
6,0.22817460317460317,0.125
7,0.19603174603174603,0.125
8,0.18293650793650795,0.125
9,0.19047619047619047,0.125
10,0.1884920634920635,0.125
11,0.1603174603174603,0.125
12,0.16666666666666666,0.125
13,0.17936507936507937,0.125
14,0.17460317460317457,0.125
15,0.16706349206349205,0.125
16,0.17817460317460318,0.125
17,0.15277777777777776,0.125
18,0.17777777777777778,0.125
19,0.1880952380952381,0.125
20,0.14642857142857144,0.125
21,0.21587301587301586,0.125
22,0.18055555555555555,0.125
23,0.1988095238095238,0.125
24,0.15753968253968254,0.125
25,0.125,0.125
26,0.19126984126984126,0.125
27,0.17341269841269843,0.125
28,0.21349206349206348,0.125
29,0.19325396825396826,0.125
30,0.19365079365079363,0.125
31,0.2238095238095238,0.125
32,0.16706349206349205,0.125
