layer,probe_acc_mlp,chance
0,0.10833333333333332,0.125
1,0.1757936507936508,0.125
2,0.12301587301587301,0.125
3,0.14206349206349206,0.125
4,0.12103174603174603,0.125
5,0.14761904761904762,0.125
6,0.1996031746031746,0.125
7,0.13373015873015873,0.125
8,0.11507936507936506,0.125
9,0.1257936507936508,0.125
10,0.13214285714285715,0.125
11,0.0988095238095238,0.125
12,0.13134920634920635,0.125
13,0.12063492063492064,0.125
14,0.1126984126984127,0.125
15,0.13373015873015873,0.125
16,0.16150793650793652,0.125
17,0.1361111111111111,0.125
18,0.15238095238095237,0.125
19,0.1253968253968254,0.125
20,0.1115079365079365,0.125
21,0.14166666666666666,0.125
22,0.10079365079365078,0.125
23,0.10793650793650793,0.125
24,0.1119047619047619,0.125
