layer,probe_acc_mlp,chance
0,0.14166666666666666,0.125
1,0.16547619047619047,0.125
2,0.18928571428571428,0.125
3,0.16547619047619047,0.125
4,0.18571428571428572,0.125
5,0.20158730158730157,0.125
6,0.1492063492063492,0.125
7,0.20952380952380953,0.125
8,0.1718253968253968,0.125
9,0.14801587301587302,0.125
10,0.13055555555555556,0.125
11,0.13968253968253966,0.125
12,0.1718253968253968,0.125
13,0.20158730158730157,0.125
14,0.1873015873015873,0.125
15,0.20198412698412696,0.125
16,0.176984126984127,0.125
17,0.10793650793650793,0.125
18,0.16666666666666666,0.125
19,0.20515873015873018,0.125
20,0.19404761904761902,0.125
21,0.20992063492063492,0.125
22,0.21349206349206348,0.125
23,0.15476190476190474,0.125
24,0.1607142857142857,0.125
25,0.19365079365079363,0.125
26,0.22341269841269842,0.125
27,0.23134920634920633,0.125
28,0.1976190476190476,0.125
29,0.15873015873015872,0.125
30,0.15198412698412697,0.125
31,0.16428571428571428,0.125
32,0.18095238095238095,0.125
