layer,probe_acc_mlp,chance
0,0.15595238095238095,0.125
1,0.17261904761904764,0.125
2,0.21984126984126984,0.125
3,0.2416666666666667,0.125
4,0.18611111111111112,0.125
5,0.11468253968253968,0.125
6,0.16944444444444443,0.125
7,0.16626984126984126,0.125
8,0.08174603174603173,0.125
9,0.16626984126984126,0.125
10,0.12301587301587301,0.125
11,0.12896825396825395,0.125
12,0.10079365079365078,0.125
13,0.11388888888888889,0.125
14,0.1115079365079365,0.125
15,0.14206349206349206,0.125
16,0.1119047619047619,0.125
17,0.1365079365079365,0.125
18,0.15912698412698412,0.125
19,0.13730158730158729,0.125
20,0.13412698412698412,0.125
21,0.16428571428571428,0.125
22,0.15277777777777776,0.125
23,0.13373015873015873,0.125
24,0.14801587301587302,0.125
25,0.11468253968253968,0.125
26,0.11468253968253968,0.125
27,0.1496031746031746,0.125
28,0.14761904761904762,0.125
29,0.14761904761904762,0.125
30,0.2043650793650794,0.125
31,0.1603174603174603,0.125
32,0.19047619047619047,0.125
