layer,probe_acc_mlp,chance
0,0.11428571428571428,0.125
1,0.20198412698412696,0.125
2,0.1869047619047619,0.125
3,0.18571428571428572,0.125
4,0.17420634920634923,0.125
5,0.17817460317460318,0.125
6,0.21825396825396826,0.125
7,0.19325396825396823,0.125
8,0.1369047619047619,0.125
9,0.16944444444444443,0.125
10,0.21031746031746032,0.125
11,0.17460317460317457,0.125
12,0.15476190476190474,0.125
13,0.1873015873015873,0.125
14,0.1873015873015873,0.125
15,0.15912698412698412,0.125
16,0.16190476190476188,0.125
17,0.22777777777777777,0.125
18,0.27499999999999997,0.125
19,0.15198412698412697,0.125
20,0.20119047619047617,0.125
21,0.2126984126984127,0.125
22,0.1841269841269841,0.125
23,0.22023809523809523,0.125
24,0.11706349206349208,0.125
25,0.14801587301587302,0.125
26,0.13452380952380952,0.125
27,0.14801587301587302,0.125
28,0.12896825396825395,0.125
29,0.13333333333333333,0.125
30,0.16666666666666666,0.125
31,0.09563492063492063,0.125
32,0.16626984126984126,0.125
