layer,probe_acc,chance
0,0.43787878787878787,0.5
1,0.3927272727272727,0.5
2,0.6824242424242424,0.5
3,0.7442424242424244,0.5
4,0.7790909090909091,0.5
5,0.7057575757575757,0.5
6,0.7406060606060606,0.5
7,0.7072727272727273,0.5
8,0.6172727272727273,0.5
9,0.6557575757575758,0.5
10,0.6824242424242424,0.5
11,0.6672727272727272,0.5
12,0.7072727272727273,0.5
13,0.6506060606060606,0.5
14,0.6257575757575757,0.5
15,0.5924242424242425,0.5
16,0.5327272727272728,0.5
17,0.6460606060606061,0.5
18,0.5393939393939393,0.5
19,0.5742424242424242,0.5
20,0.5909090909090909,0.5
21,0.556060606060606,0.5
22,0.5742424242424243,0.5
23,0.4660606060606061,0.5
24,0.4827272727272727,0.5
