layer,probe_acc,chance
0,0.36969696969696975,0.5
1,0.48939393939393944,0.5
2,0.5209090909090909,0.5
3,0.6193939393939394,0.5
4,0.5227272727272727,0.5
5,0.5157575757575757,0.5
6,0.5657575757575758,0.5
7,0.5590909090909091,0.5
8,0.5824242424242424,0.5
9,0.7639393939393939,0.5
10,0.7472727272727273,0.5
11,0.6490909090909092,0.5
12,0.6824242424242424,0.5
13,0.6990909090909091,0.5
14,0.760909090909091,0.5
15,0.7290909090909091,0.5
16,0.7457575757575758,0.5
17,0.6957575757575758,0.5
18,0.7109090909090909,0.5
19,0.670909090909091,0.5
20,0.6090909090909091,0.5
21,0.6672727272727272,0.5
22,0.7209090909090909,0.5
23,0.7275757575757577,0.5
24,0.7987878787878788,0.5
25,0.7806060606060606,0.5
26,0.7224242424242424,0.5
27,0.7306060606060607,0.5
28,0.6724242424242425,0.5
29,0.6921212121212121,0.5
30,0.6572727272727273,0.5
31,0.7306060606060606,0.5
32,0.7087878787878787,0.5
