layer,probe_acc_mlp,chance
0,0.49303030303030304,0.5
1,0.37303030303030305,0.5
2,0.6860606060606061,0.5
3,0.5590909090909092,0.5
4,0.6042424242424242,0.5
5,0.530909090909091,0.5
6,0.4545454545454546,0.5
7,0.6875757575757576,0.5
8,0.47272727272727266,0.5
9,0.5990909090909091,0.5
10,0.450909090909091,0.5
11,0.463939393939394,0.5
12,0.4224242424242425,0.5
13,0.43272727272727274,0.5
14,0.5445454545454546,0.5
15,0.6172727272727273,0.5
16,0.4909090909090909,0.5
17,0.4175757575757576,0.5
18,0.453939393939394,0.5
19,0.5054545454545455,0.5
20,0.4260606060606061,0.5
21,0.5272727272727272,0.5
22,0.5372727272727273,0.5
23,0.596969696969697,0.5
24,0.5054545454545455,0.5
