layer,probe_acc_mlp,chance
0,0.5090909090909091,0.5
1,0.5557575757575758,0.5
2,0.42272727272727273,0.5
3,0.3993939393939394,0.5
4,0.33606060606060606,0.5
5,0.5060606060606061,0.5
6,0.5075757575757576,0.5
7,0.4045454545454546,0.5
8,0.4696969696969697,0.5
9,0.5393939393939393,0.5
10,0.5793939393939395,0.5
11,0.5693939393939393,0.5
12,0.6709090909090909,0.5
13,0.5445454545454547,0.5
14,0.5727272727272726,0.5
15,0.6142424242424243,0.5
16,0.7457575757575757,0.5
17,0.6075757575757575,0.5
18,0.40727272727272723,0.5
19,0.4793939393939395,0.5
20,0.5430303030303031,0.5
21,0.5409090909090909,0.5
22,0.6345454545454545,0.5
23,0.5409090909090909,0.5
24,0.5227272727272728,0.5
25,0.7290909090909091,0.5
26,0.6687878787878788,0.5
27,0.6672727272727272,0.5
28,0.47212121212121216,0.5
29,0.5721212121212121,0.5
30,0.4675757575757576,0.5
31,0.6506060606060606,0.5
32,0.7587878787878788,0.5
